DAY_DATE,DAY_INT,HOLIDAY_NAME,WEEKDAY,HOLIDAY_DATE_SRC,IS_HOL,IS_FRB_BANK_OBS_HOL,IS_NYSE_OBS_HOL,IS_US_FEDERAL_OBS_HOL
1/1/2010,20100101,New Year's Day,Friday,https://www.timeanddate.com/holidays/us/new-year-day,1,1,1,1
1/18/2010,20100118,Martin Luther King Day,Monday,https://www.timeanddate.com/holidays/us/martin-luther-king-day,1,1,1,1
2/15/2010,20100215,Presidents' Day,Monday,https://www.timeanddate.com/holidays/us/washington-birthday,1,1,1,1
4/2/2010,20100402,Good Friday,Friday,https://www.timeanddate.com/holidays/us/good-friday,1,0,1,0
5/31/2010,20100531,Memorial Day,Monday,https://www.timeanddate.com/holidays/us/memorial-day,1,1,1,1
7/4/2010,20100704,Independence Day,Sunday,https://www.timeanddate.com/holidays/us/independence-day,1,0,0,0
7/5/2010,20100705,Independence Day (observed),Monday,https://www.timeanddate.com/holidays/us/independence-day,1,1,1,1
9/6/2010,20100906,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/11/2010,20101011,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2010,20101111,Veterans Day,Thursday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/25/2010,20101125,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
12/24/2010,20101224,Christmas Day (observed),Friday,https://www.timeanddate.com/holidays/us/christmas-day,1,0,1,1
12/25/2010,20101225,Christmas Day,Saturday,https://www.timeanddate.com/holidays/us/christmas-day,1,0,0,0
12/31/2010,20101231,New Year's Day (observed),Friday,https://www.timeanddate.com/holidays/us/new-year-day,1,0,0,1
1/1/2011,20110101,New Year's Day,Saturday,https://www.timeanddate.com/holidays/us/new-year-day,1,0,0,0
1/17/2011,20110117,Martin Luther King Day,Monday,https://www.timeanddate.com/holidays/us/martin-luther-king-day,1,1,1,1
2/21/2011,20110221,Presidents' Day,Monday,https://www.timeanddate.com/holidays/us/washington-birthday,1,1,1,1
4/22/2011,20110422,Good Friday,Friday,https://www.timeanddate.com/holidays/us/good-friday,1,0,1,0
5/30/2011,20110530,Memorial Day,Monday,https://www.timeanddate.com/holidays/us/memorial-day,1,1,1,1
7/4/2011,20110704,Independence Day,Monday,https://www.timeanddate.com/holidays/us/independence-day,1,1,1,1
9/5/2011,20110905,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/10/2011,20111010,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2011,20111111,Veterans Day,Friday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/24/2011,20111124,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
12/25/2011,20111225,Christmas Day,Sunday,https://www.timeanddate.com/holidays/us/christmas-day,1,0,0,0
12/26/2011,20111226,Christmas Day (observed),Monday,https://www.timeanddate.com/holidays/us/christmas-day,1,1,1,1
